function_group,function_class,function_name,purpose_zh,purpose_en,input_parameters,output_summary_zh,output_summary_en,time_concept,related_ui_v3_region,related_schema_or_template,source_owner,status,note
runtime_window,RuntimeWindowFunction,GetLatestRuntimeWindow,依 line_id 取得最新運行視窗資料。,Get the latest runtime window by line_id.,line_id,最新 runtime window、目前狀態、line summary。,"Latest runtime window, current status, and line summary.",current,StationCard; TimeSeriesViewer; BackToLive,dashboard_snapshot.schema.json; time_series_output.schema.json,Database / Services,pending,line_id 已確定；Past/Current 實際欄位仍需等負責同學更新。
runtime_window,RuntimeWindowFunction,GetRuntimeWindow,依 window_id 取得指定運行視窗資料。,Get a specific runtime window by window_id.,window_id,指定 window 的 runtime data。,Runtime data for a selected window.,past/current,TimeSeriesViewer; Past; Now,time_series_query.schema.json; time_series_output.schema.json,Database / Services,pending,window_size / sample_method 尚未定案。
metric_trend,MetricTrendFunction,GetMetricTrend,依 line_id、metric_name、start_time、end_time 取得指標趨勢。,"Get metric trend by line_id, metric_name, start_time, and end_time.",line_id; metric_name; start_time; end_time,x_labels、values、metric trend series。,"x_labels, values, and metric trend series.",past/current/future,TimeSeriesViewer; TimeMode; BatchMode,time_series_query.schema.json; time_series_output.schema.json,Database / Services,pending,Future trend 若涉及預測，公式或模型尚未定案。
diagnosis,DiagnosisFunction,GetLatestDiagnosis,依 line_id 取得最新診斷結果。,Get the latest diagnosis by line_id.,line_id,latest diagnosis、risk_text、warning/alarm 狀態。,"Latest diagnosis, risk_text, and warning/alarm status.",current,FaultDetail; StationCard,dashboard_snapshot.schema.json,Database / Rule / Services,pending,Rule 尚未完整定案；目前不可寫死 warning_rule / alarm_rule。
diagnosis,DiagnosisFunction,GetDiagnosisTimeline,依 line_id、category、start_time、end_time 取得診斷時間序列。,"Get diagnosis timeline by line_id, category, start_time, and end_time.",line_id; category; start_time; end_time,diagnosis timeline、事件列表、風險變化。,"Diagnosis timeline, event list, and risk changes.",past,TimeSeriesViewer; FaultDetail,time_series_output.schema.json,Database / Rule / Services,pending,category 的正式分類需等 Rule / Database 對齊。
dashboard,DashboardFunction,GetStationDashboardStatus,依 line_id 取得 dashboard station card 狀態。,Get dashboard station-card status by line_id.,line_id,summary cards、station cards、component overview、metrics。,"Summary cards, station cards, component overview, and metrics.",current,SummaryCards; StationCards,dashboard_snapshot.schema.json; dashboard_snapshot.template.json,Statistics Service / Database,draft,此 function 最直接對應 UI_v3 首頁資訊。
component_health,ComponentHealthFunction,GetComponentHealthSummary,依 line_id 取得元件健康狀態摘要。,Get component health summary by line_id.,line_id,RobotArm、Nozzle、AirCompressor、SprayWidth、FilterMesh、Quality 狀態。,"Statuses of RobotArm, Nozzle, AirCompressor, SprayWidth, FilterMesh, and Quality.",current,ComponentOverview; FaultDetail,dashboard_snapshot.schema.json,Database / Statistics Service,draft,AirCompressor 已作為目前空壓機元件名稱；SprayWidth 是 UI_v3 新增功能。
quality_trend,QualityTrendFunction,GetRecentQualityTrend,依 line_id 取得近期品質趨勢。,Get recent quality trend by line_id.,line_id,quality_score_pct 或相關品質趨勢。,quality_score_pct or related quality trend.,past/current,TimeSeriesViewer; Quality,time_series_output.schema.json,Database / Statistics Service,pending,quality_score_pct 公式尚未定案。
ml_feature,MLFeatureFunction,GetMLFeatureInput,依 part_uuid 取得 ML / Future Service 所需特徵。,Get ML/Future Service input features by part_uuid.,part_uuid,future prediction input features。,Input features for future prediction.,future,PredictRisk; Future,future_service_pending,Database / Future Service,pending,Future Service 計算公式或模型尚未定義。
prediction,PredictionFunction,GetLatestPrediction,依 part_uuid 取得最新預測結果。,Get the latest prediction by part_uuid.,part_uuid,prediction result、risk level、future risk text。,"Prediction result, risk level, and future risk text.",future,PredictRisk; Future,future_service_pending,Future Service / Database,pending,不寫死 prediction formula；先保留 function 架構。
omniverse_validation,OmniverseValidationFunction,GetOmniverseValidationResult,依 part_uuid 取得 Omniverse 驗證結果。,Get Omniverse validation result by part_uuid.,part_uuid,collision / trajectory / validation result。,"Collision, trajectory, or validation result.",validation,pending,omniverse_pending,Omniverse / Database,pending,Omniverse 正式用途仍待確認。
