item,internal,unit,format,location
批次編號,batch_id,NA,string,System
資料時間戳,timestamp,ISO8601,string,Edge_Gateway
作業站點,line_id,NA,string,System
膜厚度,film_thickness_um,um,float,Quality_Sensor
塗料流量,flow_rate_ml_min,ml/min,float,FluidControlModule
空氣壓力,pressure_bar,bar,float,FluidControlModule
濾網壓差,filter_diff_pressure_bar,bar,float,Fluid_Pipeline
噴幅寬度,spray_width_mm,mm,float,CCD_Vision_System
伺服馬達負載,servo_torque_load_pct,%,float,RobotArmControlModule
減速機溫度,gearbox_temperature_c,C,float,Robot_Joint
軌跡追隨誤差,path_error_mm,mm,float,RobotArmControlModule
三軸振動加速度,vibration_g,G,float,Robot_Base
環境溫度,temperature_c,C,float,Chamber_Env
環境濕度,humidity_rh,%,float,Chamber_Env
TCP_X座標,tcp_x_mm,mm,float,Robot_Arm
TCP_Y座標,tcp_y_mm,mm,float,Robot_Arm
TCP_Z座標,tcp_z_mm,mm,float,Robot_Arm
噴嘴翻滾角,nozzle_roll,degree,float,Robot_Arm
移動速度,speed_mm_s,mm/s,float,Robot_Arm
