service_step,query_scenario,time_type,database_function,input_from_query_or_service,expected_database_output,used_by_service_function,output_schema_path,status,note
QueryData,runtime window for selected line scope,past/current/future,get_runtime_window,window_id if available; otherwise resolved by line_scope + window_type + slider_value,"runtime_window, runtime_signal, runtime_metric",ApplySampleMethods; CalculateLineMetrics,stations[].metrics; stations[].process_parameters,interface_defined_pending_db_binding,目前 0531 service 尚未實作正式 DB 連線；此列定義 QueryData 未來應如何接 DB。
QueryData,latest runtime for current view,current,get_latest_runtime_window,line_id,latest runtime window and current runtime metrics,ApplySampleMethods; BuildLineOutput,stations[].metrics; stations[].process_parameters,interface_defined_pending_db_binding,用於 back_to_live 或 current view。
QueryData,metric trend for TimeSeriesViewer,past/current/future,get_metric_trend,line_id; metric_name; start_time; end_time,trend series for requested metric,BuildOutput,stations[]; calculation_info,interface_defined_pending_db_binding,若 UI_v4 需要趨勢圖，應由此 query 支援。
QueryData,dashboard station status,current,get_station_dashboard_status,line_id,dashboard status by line,BuildLineOutput; BuildOutput,summary; stations[].state,interface_defined_pending_rule_binding,state 若涉及 warning/alarm，仍需 Rule Service 或 diagnosis result。
QueryData,component health summary,current,get_component_health_summary,line_id,component health summary,BuildLineOutput,stations[].component_overview; stations[].component_metrics,interface_defined_pending_rule_binding,component_overview 仍可能由 Rule Service 產生。
QueryData,latest diagnosis,current,get_latest_diagnosis,line_id,"diagnosis result, risk level, issue text",BuildLineOutput,stations[].fault_detail; stations[].metrics.risk_text,pending_rule_service,fault_detail 與 risk_text 不由 TimeSeriesService 硬算。
QueryData,diagnosis timeline,past,get_diagnosis_timeline,line_id; category; start_time; end_time,diagnosis timeline,BuildOutput,calculation_info or future diagnostic panel,pending_rule_service,目前 UI_v4 是否顯示 diagnosis timeline 仍需確認。
QueryData,future prediction,future,get_latest_prediction,part_uuid or line-related prediction key,"prediction result, risk level",BuildOutput,summary.predict_risk_count; stations[].metrics.risk_text,pending_future_service,Future model 尚未定案；不可產生假 prediction。
QueryData,ML feature input,future,get_ml_feature_input,part_uuid,ML feature input,Future Service or prediction step,calculation_info,pending_future_service,僅定義接口，不產生假 ML feature。
QueryData,Omniverse validation,validation,get_omniverse_validation_result,part_uuid,validation result,external validation flow,calculation_info,pending_omniverse_binding,Omniverse 功能仍為外部驗證參考。
