api_route,service_function,service_class,time_group,input,response_summary,response_schema,ui_component,db_tables,cache_ttl_s,status,note
/api/v1/lines/{line_id}/summary,get_station_dashboard_status,DashboardService,current,line_id,"{total, normal, warning, predict_risk, timestamp}",line_summary.schema.json,StationSummaryCards,production_line; component_master; component_health_snapshot,30,defined_contract,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/lines/{line_id}/stations/latest,get_latest_runtime_window,RuntimeService,current,line_id,signal + reference + metric + pose,station_latest.schema.json,StationCards6Components,runtime_window; runtime_signal; runtime_reference; runtime_metric; robot_pose,30,defined_contract,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/lines/{line_id}/diagnosis/latest,get_latest_diagnosis,DiagnosisService,current,line_id,"{state_label, severity_rank, confidence, baseline, diff}",diagnosis_latest.schema.json,ComponentDiagnosisDrawer,diagnosis_result; filter_threshold; nozzle_threshold; process_threshold,30,defined_contract,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/lines/{line_id}/metrics/{metric_name}/trend,get_metric_trend,TrendService,current,line_id; metric_name; start_time; end_time,trend series,metric_trend.schema.json,TimeSeriesSlider,runtime_window; runtime_metric,30,defined_contract,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/lines/{line_id}/status,get_overall_status,KPIService,current,line_id; date,worst_station + predicted_ok_rate,overall_status.schema.json,StatusBanner,component_health_snapshot; ml_prediction_result; alert_log,30,defined_contract,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/lines/{line_id}/kpi,get_kpi_summary,KPIService,current,line_id; date,"predicted_ok_rate, predicted_ng_pcs, utilization, avg_cycle_time_s",kpi_summary.schema.json,KPICards,ml_prediction_result; runtime_metric; part_history; qc_result,30-120,defined_contract,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/lines/{line_id}/charts/yield-comparison,get_yield_comparison,ChartService,current,line_id; date,"hours, yesterday, today, target",yield_comparison.schema.json,YieldComparisonChart,qc_result; part_history; batch_run; ml_prediction_result,120,defined_contract,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/lines/{line_id}/charts/quality-trend,get_quality_trend,ChartService,current,line_id; timestep,past/current/forecast quality series,quality_trend.schema.json,QualityTrendChart,qc_result; ml_prediction_result,120,defined_contract,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/lines/{line_id}/charts/utilization-trend,get_utilization_trend,ChartService,current,line_id; timestep,utilization series,utilization_trend.schema.json,UtilizationTrendChart,runtime_metric,120,defined_contract,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/lines/{line_id}/charts/cycle-time-trend,get_cycle_time_trend,ChartService,current,line_id; timestep,cycle time series,cycle_time_trend.schema.json,CycleTimeTrendChart,part_history,120,defined_contract,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/lines/{line_id}/batches,list_batches_filtered,BatchService,current,line_id; date; risk_levels; start_time; end_time,"{total, rows[]}",batches_filtered.schema.json,BatchTable,batch_run; qc_result; ml_prediction_result,120,defined_contract,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/lines/{line_id}/alerts/pending,list_pending_alerts,AlertService,current,line_id,pending alerts,pending_alerts.schema.json,PendingAlertsDrawer,alert_log; diagnosis_result; ml_prediction_result; qc_result,30,defined_contract,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/alerts/{alert_id}/acknowledge,acknowledge_alert,AlertService,current,alert_id; operator_id,acknowledged alert,alert_acknowledge.schema.json,PendingAlertsDrawer,alert_log,0,defined_contract,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/alerts/trigger,trigger_alert,AlertService,current,source_type; source_id; line_id,alert_log insert,alert_trigger.schema.json,PendingAlertsDrawer,alert_log; diagnosis_result; ml_prediction_result; qc_result,0,defined_contract,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/lines/{line_id}/prediction-accuracy,get_prediction_accuracy,PredictionAccuracyService,current,line_id; date,predicted vs actual accuracy,prediction_accuracy.schema.json,PredictionAccuracyDrawer,qc_result; ml_prediction_result,120,defined_contract,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/lines/{line_id}/diagnosis/timeline,get_diagnosis_timeline,DiagnosisService,current,line_id; category; start_time; end_time,diagnosis timeline,diagnosis_timeline.schema.json,TimeSeriesSlider,diagnosis_result; filter_threshold; nozzle_threshold; process_threshold,30,defined_contract,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/lines/{line_id}/risk-detail,get_station_risk_detail,RiskService,current,line_id,risk detail,station_risk_detail.schema.json,StationRiskDetail,diagnosis_result; ml_prediction_result; alert_log,30,defined_contract,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/parts/{part_uuid}/ml-features,get_ml_feature_input,FeatureService,future,part_uuid,feature payload,ml_feature_input.schema.json,FutureService,ml_feature_snapshot,0,pending_future_model,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/parts/{part_uuid}/prediction/latest,get_latest_prediction,PredictionService,future,part_uuid,prediction result,latest_prediction.schema.json,PredictionService,ml_prediction_result,30,pending_future_model,Dashboard v15 / DB Schema v2 direct API contract
/api/v1/parts/{part_uuid}/omniverse/validation,get_omniverse_validation_result,OmniverseService,future,part_uuid,validation result,omniverse_validation.schema.json,OmniverseValidation,omniverse_sync_log; trajectory_result,120,pending_omniverse_binding,Dashboard v15 / DB Schema v2 direct API contract
