sep=,
threshold_id,sensor_name,source_table,station,normal_expression,warning_expression,fault_expression,unit,threshold_source,status,note
TH_FILTER_DIFF_ALL,filter_diff_pressure_bar,sensor_1min,ALL,0.1 <= value <= 0.5,0.5 < value <= 0.7,value > 0.7,bar,DataPreprocess_spray0609,reference_active,濾網壓差判斷區間。
TH_SERVO_TORQUE_ALL,servo_torque_load_pct,sensor_1min,ALL,40.0 <= value <= 60.0,60.0 < value <= 75.0,value > 75.0,%,DataPreprocess_spray0609,reference_active,伺服馬達負載判斷區間。
TH_AIR_PRESSURE_ALL,air_pressure_bar,sensor_1min,ALL,2.4 <= value <= 2.6,2.3 <= value < 2.4 OR 2.6 < value <= 2.7,value < 2.3 OR value > 2.7,bar,DataPreprocess_spray0609,reference_active,空氣壓力雙側判斷區間。
TH_TEMPERATURE_ALL,temperature_c,sensor_3min,ALL,20.0 <= value <= 30.0,15.0 <= value < 20.0 OR 30.0 < value <= 35.0,value < 15.0 OR value > 35.0,degC,DataPreprocess_spray0609,reference_active,三分鐘環境溫度聚合值判斷區間。
TH_HUMIDITY_ALL,humidity_rh,sensor_3min,ALL,45.0 <= value <= 65.0,35.0 <= value < 45.0 OR 65.0 < value <= 75.0,value < 35.0 OR value > 75.0,%RH,DataPreprocess_spray0609,reference_active,三分鐘環境濕度聚合值判斷區間。
TH_PAINT_FLOW_ALL,paint_flow_ml_min,sensor_1min,ALL,105.0 <= value <= 125.0,95.0 <= value < 105.0,value < 95.0 OR value > 125.0,ml/min,DataPreprocess_spray0609,reference_active,塗料流量判斷區間。
TH_SPRAY_WIDTH_ALL,spray_width_mm,sensor_1min,ALL,105.0 <= value <= 125.0,95.0 <= value < 105.0,value < 95.0 OR value > 125.0,mm,DataPreprocess_spray0609,reference_active,噴幅寬度判斷區間。
TH_PATH_ERROR_ALL,path_error_mm,sensor_1min,ALL,0.00 <= value <= 0.10,0.10 < value <= 0.15,value > 0.15,mm,DataPreprocess_spray0609,reference_active,軌跡追隨誤差判斷區間。
